Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/07/2014,Self,TRIP,TripAdvisor Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/14/2014,Joint,CY,Cypress Semiconductor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/14/2014,Joint,BMY,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/15/2014,Joint,COF,Capital One Financial Corporation (NYSE),Stock,Sale (Full),"$15,001 - $50,000",same transaction using settlement date was deleted in 11/18/14 report
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/02/2014,Child,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/14/2014,Child,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",10/02/2014,Self,QQQ,"PowerShares QQQ Trust, Series 1 (NASDAQ)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2017,Self,REGN,"Regeneron Pharmaceuticals, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/05/2017,Self,JCI,Johnson Controls International plc,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/05/2017,Self,DISH,DISH Network Corporation,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/05/2017,Self,NWL,Newell Brands Inc.,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2017,Joint,NWL,Newell Brands Inc.,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/12/2019,Self,HAS,"Hasbro, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Joint,PG,The Procter & Gamble Company,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Joint,PEP,"PepsiCo, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Joint,NSRGY,Nestlé S.A.,Stock,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Joint,FB,"Facebook, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Joint,T,AT&T Inc.,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/27/2019,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/14/2014,Self,GPRO,"GoPro, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/07/2014,Self,KORS,Michael Kors Holdings Limited (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/07/2014,Self,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/29/2014,Self,AXP,American Express Company (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/29/2014,Self,VOD,Vodafone Group Public Limited Company (NASDAQ),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",07/29/2014,Self,LNKD,LinkedIn Corporation (NYSE),,Sale (Full),"$15,001 - $50,000",--
